,OriginalTweet,Sentiment
2451,appleinsid appl retail employee work local santa monica california test posit covid19 appl confirm friday,nan
2452,surviv corona virus day 0 rush grocery store stock food wine day 1 need wine restock day 2 wow ate lot food need restock food wine day 3 repeat day 0 stayathom coronaviru coronavirusupd covid19 saturdaythought,nan
2453,wont corona virus take peopl outfit lack avail food recess due panic buy caus store run food water item smarter that coronaalert covid2019 cancer cancersuck leukemiaawar,nan
2454,anncoult medium driven hysteria caus peopl work sport event food truck etc lose job mention damage stock market truly despite family delete fox show done coro,nan
2455,condo down online shop app website break coronaviru fear lead panic bu,nan
2456,were look fly af hous online shop were do like thanksgiv everyday coronaviru,nan
2457,local corner shop top price everyth topic €20 basket cost €33 today argue price increase state surviv main supermarket willingly paid €33 round €35 id lost without him shoploc covid2019,nan
2458,grocery store pack am morn west enrico va van early saturday shop rel peace morn coronaviru covid19 peopl state peopl shop like apocalypse someth ajoy can manic morning,nan
2459,rememb it ok steal really good anyon sell thing like toilet paper orbit price midst global crisis coronaviru coronaapocalyps covid19 nationalemerg,nan
2460,local neighborhood supermarket close early afternoon ran inventory special israel prepare week nationwide lockdown stop spread coronaviru start tonight covid19,nan
2461,see grocery store panic buy covid19 answer revers question far omni strand desert island vegan food would choose start,nan
2462,90 year old man came grocery store wear trump hat gave hug told not worry chao soon glad see someon act crazy covid19 son need chill,nan
2463,dri pasta section grocery store near place feel good it nycprim covid19 newyorkc peoplefreakingout itsnotsupposedtobethisway feelingwierd sunni,nan
2464,world insane woman supermarket lament frozen beget half shop fresh veggie choose from coronavirusaustralia covid19,nan
2465,one hand panicky grocery may tell store stock hand peopl seem say heck avoid preserve sugar unhealthy food worldwarz coronaviru panicshop food covid19,nan
2466,ohiocoronaviru selfish coronapocalyps coronaviru covid19 coronaoutbreak saturdaythought coronavirusupd corona coronavirusmem covid19 coronavirusmichigan coronahysteria couid covid2019 nationalemerg last day grocery store,nan
2467,apocalypse diary day 2 they play colin dion grocery store think everyth okay covid19,nan
2468,fake stir coronaviru hysteria would antics current pace riot city across country surround avail food essential panicky great job can youll headline,nan
2469,go grocery store see bean miss know yall need toilet paper toiletpap toiletpaperpan toiletpapercrisi covid19 coronapocalyps coronaviru covid19,nan
2470,junk andi even shelf empty egg bread milk panic buy everywher main sheffield city question couid 19 panic buy lead unnecessary food wast uk food system withstand stress so,nan
2471,italy spain franc proactive shut non essential store restaur meanwhile u pleas come large retail store virus yell u plate stock,nan
2472,hey fun fact post empty grocery store shelf aint gonna help stop covid19 scare peopl caus peopl act ridicule covid19 coronaoutbreak coronaviru,nan
2473,ever study social psych sociology go grocery store wit peopl act time really show peopl true behavior insane social experi yet textbook case study one day coronaviru,nan
2474,savage tandem spread as lol supermarket run toilet paper coronapocalyps covid19 covid19,nan
2475,go grocery store covid19 like black friday without ti lame,nan
2476,didnt take pictur empty shelf even go grocery store covid19 notoiletpap orfrozenfruit,nan
2477,everyone still compare coronaoutbreak flu joke airline ticket price meanwhile single biggest spike global covid2019 case report today,nan
2478,count prep food meal 2600 student across henri rockfall clayton butt count need food don't high demand weekend,nan
2479,hunker week luckily dont sacrifice aim welfare grocery shop purchase meat dairy egg online new aspect brand list shopwithyourheart coronaviru,nan
2480,noth buy supermarket covid19,nan
2481,company thatll profit covid19 1 hand saint 2 stream service netflixconfus 3 news corpore 4 pharmacist 5 wholesale consume good 6 video conference slut 7 face mask 8 set price amp chill remote advertise investtoday busi,nan
2482,package arriv lax unit kingdom supposedly carry purify water cop offic found vial white liquid label corona virus 2019nconv covid19confus,nan
2483,the american public awar bogus home test kit sale either online inform direct consume set cop said,nan
2484,panicky intensify longisland place ad stress life basic need food scare shop sensible read kristinsalaki covid19 coronaviruspandem coronaviru,nan
2485,everyone talk toiletpaperpan food grocery store line sportsman warehouse purchase gun coronapocalyps covid19 coronaoutbreak,nan
2486,quick rant covid19 seriou fact yall leav peopl low income food water yall selfish as bitch need stalk 7 month caus peopl panic left food peopl disgust,nan
2487,flattenthecurv apply grocery toiletpap well everyone start hoard beyond need system break down import normal demand buy time u were toget coronaviru,nan
2488,mamafooc can cillizzacnn they close area tea well im trip kid grocery store mall park restaur peopl arent stay home what point socialdistanc covid2019 closetheschool,nan
2489,covid19 men wander aimlessly aisle guess it first time they ever go grocery store giant ashburn confuse,nan
2490,can food probabl caus butt load diarrhea els would to stock washyourbum coronaviru coronapocalyps toiletpaperapocalyps,nan
2491,covid19 mani shelf store full stock earlier week wipe clean item disinfect supply hand saint toilet paper,nan
2492,whate current happen grocery store ga station opposite socialdistanc covid19,nan
2493,put spider perfect would rather go situate suffer bomb night night year child evac panic buy food common strictly ration id take covid19 day mass theatrics,nan
2494,world implode sky fall supermarket shelf empty except cottagechees even global tandem get peopl buy cottage chees aka crap couid covid19…,nan
2495,shelf local grocery store saguaro spain yesterday govern announce 15 day closer non essential store covid19 hoard,nan
2496,folk order extra grocery pleas conside local food bank peopl food insecure bail order extra stock need help 19,nan
2497,buy food need mani dont resource bail stock long fellow meanest there also response shop dietary restrict mind get instead plu covid19 covid2019 academicchatt,nan
2498,anyon mean anyon use covid19 profit of sell rebel toilet paper clean supply wet wipe diaper etc ecto need extraordinary inflate price need face criminy charge ani,nan
2499,make sens italy mani infect coronavirusau saw covid19au coronaviru coronaoutbreak covid19australia covid19 coronaviruspandem canceleveryth toiletpap travelban,nan
2500,wrong attitude canadian coupl made 70000 rebel lysol wipe amazon inflate price smart covid19 coronaviru,nan
2501,anyon els online shop right now ive notice design suddenly made 70 off sale 50 off sale with free ship like fuck price gang yall onlineshop coronaviru covid19 covid19 covid19u,nan
2502,im glad ever single busi ever enter email handl covid19 wayward health safety mind thank online shop addict support appreci,nan
2503,inbox full email regard covid19 ever retail store ever somehow gotten email address response they respond crisis health insure tell whether theyll cover test noth,nan
2504,figur rush hour traffic today everybody grocery store panic buy clean supply toilet paper bottle water covid2019 coronaviru,nan
2505,concern elderly le mobil commun crazy amp supermarket empty mayb start movement help either online shop take basic item coronaviru australia,nan
2506,pal wait grocery store line hour longer it time like wonder technology like amazon implement no cashiersconfus isnt norm now coronaviru ithoughtwewouldbelivinglikethejetsonsbynow,nan
2507,tast downtown food festive origin schedule march 27 laredo mansion postpone light panic surround covid19 coronavirusconfus,nan
2508,im dread trip grocery store tomorrow procrastin covid19,nan
2509,city la pizza advisor covid19 i metro manilawid curfew start march 16 8pm5amconfus april 14 2020 i close mall exempt supermarket grocery public market pharmaciesconfus i la pizza city govern declare state calm anytime soon,nan
2510,vegan coronaviru eat aim pay murder alway said could never surviv vegan food yet surviv stake stock exactly vegan food pastabeanspulsesriceconfus life interest way prove hypocrisy,nan
2511,feel stupid worry whole couid 19 thing virus socioeconomic impact come month bring like cancel trip month cancun affect job search even sean said stock can food,nan
2512,theo panic buy chew since local store ran favorit cat food thank chew quick deliver rememb everyone stock pet saturday catsoftwitt coronavirusupd coronaviru covid19,nan
2513,thing local grocery store of toilet paper hand saint hand soap kleenex rub alcohol wipe most clean supply water bread ground beef condom patient fuck give covid19 covid19u apocalypsenow fridaythe13th hideyakid hideyawif,nan
2514,rumor misinform danger creat panic chao leopard safety read regard state emerg new york city stop rush toilet paper can food go everybody part,nan
2515,boomer stock food toilet paper millennia gen i creat notify playlist till “covid19”,nan
2516,message express may nordstrom fore neimanmarcu retail cloth brand it time limit hand on touch germ checkout procedure store local coronaviru,nan
2517,coronaviru longer proud british peopl stock pile disgrace poor elderly high risk food essential you babi go without clean product feed pure selfish well done bravo,nan
2518,coronaviru would chang life i depend food grocery deliver service i increase online transact shop bankingconfus i video teleconference new meet i onlineyoutub class lesson i stream to music show i remote work,nan
2519,hey tesco sainsbury's morrison peopl use online shop due covid19 would possible add way don't someth like trusselltrust checkout feel like ever foodbank need support,nan
2520,ga price go good thing guy hundr thousand oil field family lose job subset livelihood covid19 virus isnt effect folk contract ill worldwide spread panic also virus,nan
2521,panic drop market ive yet see decline sale com brand other inventory problem china lockdownconfus curious see covid19 effect sale online shop move forward,nan
2522,amysiskind also rememb local food bank everyone abl afford reassure well stock pantry stock up grab coupl item local food bank foodinsecur covid19 behind,nan
2523,unit cant imagin due consume unfriendly coronaviru waiver police refund need,nan
2524,pantry covid19 covid19u food preparenotpan coronaoutbreak coronaviru think fresh meat stock mani place mayb list peopl contribute favorit pantry meal,nan
2525,oil price plummet amid magnitude spread covid19 hurt economic heavily reliant energy export,nan
2526,grocery one want panicky coronavirusupd covid19 coronaviru coronapocalyps saturdaythought covid2019 covid19 couid,nan
2527,bread circus spread word food shortage ahead iceagefarm problemreactionsolut the panic 1907 morgan step amp creat fed farmer covid2019 restrict farmer market way help gym growyourown i,nan
2528,stood behind someon buy 300 worth meat grocery store covid19 coronapocalyps coronaviru,nan
2529,online shop bother coronaviru frenzy amazonprim,nan
2530,noth thing go buy tissue like covid19 affect shit give cant priority buy thing apply far beyond tissue food shortage come 1 locust 2 tandem panic 3 previous mistak,nan
2531,hello everyone made amp sell high quality made nigeria shoe afford price give tri u thank later price4000 local kono nationwide intern deliver callwhatsapp09093052802 kindly retweet li hub covid19,nan
2532,id like heb know panic shop covid19 bought food teenage boy home week spring break,nan
2533,anyon actual know anyon coronaviru covid19 quarantineandchil ton hype on friend cousin brother nice who neighbor best friend wife saw someon grocery store sneeze heard,nan
2534,need panic amp go crazy hoard food amp essential single mother cannot afford stock babi milk amp essential item plu take care elderly amp ruler plu think other coronaviru,nan
2535,stock food couid 19,nan
2536,select appl store remain open temporarily custom pend sale repair pickup hartleycharlton,nan
2537,supermarket buy supply happen see elderly troubl reach thingsload unload heavy item cart pleas take second two offer helpcovid19,nan
2538,beg pleas stop panic buy dog food promis wont need with bag dog food dog go hungry keep stock pile pleas think peopl aim coronaviru covid19 panic grocerystor,nan
2539,im go online shop hole someon must stop me spring cloth spring shoe spring bag spring skin like im book facialord new closet couid 19 effect me affect ink,nan
2540,since cant go spend money instead online shop cloth covid19 run cours it hoe,nan
2541,doctor avoid public space “covid19 danger older adult normal peopl we need stock food water stay in old peopl we need go hobby lobby asap,nan
2542,retail store least affect amongst busi covid19 outbreak ethic hike product price time clean product grocery seen price hike now good,nan
2543,pleas see tigerfitnesscom statement regard handl covid19 include measure temperature everyone enter build close gym retail store public statement found,nan
2544,me normal weekentonguestickingoutcheekyplayfulorblowingaraspberri seein nobody doin noth watchin to happi woo face mask online window shop me covid19 voluntary isol day 2 im bore omg serious long last,nan
2545,dog amp cat food dont care coronaviru wuhancoronaviu expectdemand food els inmyquarantinesurvivalkit,nan
2546,hey everyone go crazy home rain day amid coronaviru shutdown seen weird thing grocery store do email story mkendallbayareanewsgroupcom coronavirusoutbreak coronapocalyps coronaoutbreak,nan
2547,health take she everyday need buy enough toilet paper month low quality food eat everyday virus panic enough toilet paper coronaviru panicky covid19,nan
2548,next deliver slot online shop tesco next sunday 7 day away covid19uk coronaviru coronapocalyps covid19 coronary coronavirusupd,nan
2549,appl applesupport would like know covid19 outbreak go delay recent order even further current mark avail pick april ord local retail store it simple 13” map 25616gig,nan
2550,stream tonight gov ga said stock week worth food case stuck home got bunch moon pie refuse end like woods harrison zombieland see guy sunday 19,nan
2551,really what downside coronaviru someon young strap like me work home take time rest sneeze drink oj stay sunni of home visit grocery store mayb ever two week like for vacant,nan
2552,covid19 prepared stock food toilet paper avoid panic buy say health canada topbuzz,nan
2553,inform worker engin economy growth mani country hit hard coronaviruspandem deserve take paid sick day right thing amp economy sensible ethic,nan
2554,understand stress amp uncertain time peopl la amp world respond covid19 amp work keep commun safe were hear report misinform pleas stick trust news source amp gov agent lapublichealth amp cdcgov,nan
2555,idea help elderly neighbor offer help place grocery food deliver order online dont need go store take knowledge grant might timid covid19 panicshop coronaviru,nan
2556,ridicule scene tesco coney hatch morn shelf clear like there riot selfish peopl fill trolley multiple pack leav none other stagger plu much get early avoid crowd spacesconfus,nan
2557,read german friend covid19 update ran new word instantly suspect mean ye hamsterkã¤uf mean panic buy ye hamster part fluffy scare littl aim shove food cheek german great,nan
2558,three thing go happen work home confuse work confuse work confuse online shop coronaviru,nan
2559,done got 59 email covid19 ever retail ive done online shop with damn get point,nan
2560,work covid19 saturdaymorn wonder est workplace contain yet and everybody supermarket prepare apocalypse2020,nan
2561,understand virus taken lightly peopl act like it zombi apocalypse water aisle local grocery store stay safe pleas dont panic well get toget panicky covid2019 coronaalert,nan
2562,coronaviru tandem really stress out im scare ill catch it work retail everyone panic shop make job hard selfquarantin already stop come store,nan
2563,coronaviru outbreak across globe high immune food set raise demand coronaoutbreak,nan
2564,thursday even branford local grocery store toilet paper paper towel like restock later nightstick shock coronaviru covid19 coronapocalyps ontario branford news notoiletpap covid19 panicky toiletpaperpan,nan
2565,first all trader joe u suck food rich import disciple buy want cook day wors snack food panic shop also got ting megachurch trend there thu trader joe covid19 medium coverage day,nan
2566,realist2016jlp medium inspire couid 19 tandem panic turn u venezuela toilet paper amp relax paper product gene stock social distance busi strange what next attack garbage truck food the,nan
2567,find hand saint supermarket covid19,nan
2568,couid 19 may kill u happen peopl panic buy there food left trumpplagu,nan
2569,pal teddybear shut retail storetour due coronaviru room friend sent pic johnson pajama llama charge teddy bear store human return good hand online shop still availableconfus,nan
2570,store sell due panicky amazon food stock welch fruit snack ad coronaviru virus coronavirusoutbreak wuhanviru coronavirususa tandem sarscov2 covid19 coronaoutbreak covid19 coronaviruspandem coronapocalyps,nan
2571,store sell due panicky amazon food stock pepper farm goldfish variety pack cracker ad coronaviru coronavirusoutbreak coronavirususa tandem sarscov2 china whan flu coronaoutbreak covid19 coronapocalyps,nan
2572,store sell due panicky amazon food stock naisho cook variety pack ad coronaviru coronavirusoutbreak covid2019 wuhanviru coronavirususa tandem sarscov2 china whan flu coronaoutbreak covid19 coronapocalyps,nan
2573,went supermarket today fresh veg bread meat manage buy dog food wine hagen day salt caramel ice cream though well covid19 covid19 coronaviru coronavirusespana,nan
2574,time like find good peopl are peopl don't moneyfor le fortune posit are peopl buy item demandshortag sell highest bidder coronaviru covid19kind,nan
2575,food emerg supply store struggle meet demand coronaviru yif,nan
2576,here list wefoodbank dropoffs point across ne amp don't greatly appreci chart time thank there new wishlist amp online supermarket shop sent deliver wefoodbank open hour address nunc,nan
2577,everyone bulk buy due coronaviru thought self isol isol dont need stock up peopl havent got coronaviru drop food supply parcel outside hous open door to coronaviru uk,nan
2578,ran family sam club today say spent 2000 stock to water food concern coronaviru told actual le concern get sick busi abl keep supply demand,nan
2579,head grocery store wish luck covid2019,nan
2580,time share extra kind warmth humour support interact supermarket staff everywher swig strang frontline shop right youfeel them hug covid19 covid19au covid2019,nan
2581,work retail today young kid asian decent cough store grown as man start yell tri chase store scream swear world come to coronaviru,nan
2582,deaceproduc costco trip stop mine yesterday dog food said cant keep stock wasnt piss coronaviru saw peopl panicky dog food,nan
2583,best take ive heard far today im drive work someon call whate radio show say it 630 morn im grocery store lady yell hand saint meanwhile still plenty soap priority covid19,nan
2584,stock snack food mostly made large factory fail confirm case show local shut week warn doritos gunship toshio frito covid19 coronaviru,nan
2585,lollyscupcakeri crazy kate still dont get toilet roll thing though id rather stock food know coronaviru,nan
2586,covid19 even deadly yall stock pile food aid leav if doa since is bet condom shelf full though,nan
2587,happi saturday friend saint ship fail amp storefront multiple time daily want strongly encourage take shop experi u online err side safety time covid19 season who,nan
2588,interest scene grocery store last night two thought fear make monkey u all justintim inventory doesnt deal well demand supply shock coronaviru canada,nan
2589,stock food event start therefor need shit raced need stock toilet paper either simple slut peopl coronaviru,nan
2590,louisianagov ban public gather certain number peopl retail store public busi worry 500 peopl gather one grocery store busi either co,nan
2591,2 stage covid19 concern 1 proactive consider get extra food demand school close line recommend work home clean hous social distance wash hand 2 shit scare head costco get alll toilet paper,nan
2592,im sure tweet go result verbal viscera really think mad empty grocery store across country uncas for were creat atmosphere hysteria really isnt help situate yall think wrong,nan
2593,grocery store to cleaner cereal and flour thought nobody bake anymor candor antigluten coronaviru mmmbread,nan
2594,phran310 eveldick mayb 20 peopl grocery store shop 14 15 older woman stand empty toilet paper aisle chat coronaviru mani store already to,nan
2595,even ive realise german shepard puppy wind toxic covid19 consume advice bought man hold breath,nan
2596,peopl food grocery deliv tip driver feel entity demand face coronaviru bring box cereal free go fuck yourself dystopia gigeconomi,nan
2597,current stand continue see mescal active couid 19 case see disrupt global travel consume corpore active supply chain labour product due ill selfish,nan
2598,stock market busi crash spread covid19 tandem shop mall run food supply co peopl stock home busi crash exploit crisis thrive iron life coronaviru,nan
2599,response corona amp cancel event online shop risen since covid19 virus parallel response coronaviru emerg plan excus vendor cant bring peopl u bring u,nan
2600,shelf usual shop bread local grocery store covid2019,nan
2601,ive never seen may men supermarket saturday day without footbal coronaviruspandem coronavirusupd coronaviru covid19 panicky uk,nan
2602,stock food water supplement like selenium zinc vitamin i amp do protect deadly coronaviru even buffalo ny overflow covid19 covid19 canadian be vancouver victoria abc it exo fix pop fu fortune bit vic richmond,nan
2603,stock 3 month worth food amp water quickly covid19 tandem govt protect itself coronaviru tether temo feminist christian cathal librarian stewardess lesbian transcend gay cook chef baker waitress clerk janitor,nan
2604,first covid19 case kazakhstan since yesterday go supermarket today peopl seem buy much stuff usual price rise they chang price tag right front confuse reason almost toilet paper left,nan
2605,formal campaign launch today fight hunger demand north tea food bank increase due school closer longer spring break loss income etc covid19 pleas don't littl 100 ur don't fighting formal girlyoda,nan
2606,omo na wa ooo even supermarket sef dri beg make find prevent cure coronaviru asap awa world danger oyinboprincesssaysso obama covid19 birmingham unit kingdom,nan
2607,it saturday ive brave grocery store amp shopper ive wash hand 12 time already coffe hand sit couch amp pet wild usual glimpse live entertainmentamp aw cackleconfus covid19 relief tweet,nan
2608,shoutout grocery store worker endure mass hysteria healthcare worker front line also mayb parent gene public appreci value duc week school closer covid19,nan
2609,went supermarket bit like apocalypse film ive seen anyth like entir life scare coronaviru covid19,nan
2610,ive broken mani covid2019 covid19 covid19u health tipsguidelin keep one safe touch face rub eye wipe mouth hand shop hundr folk tri stock food etc total think sad level,nan
2611,suck pal tell pal stock thing peopl without income stock also need know lot care pleas pleas think peopl also food bank suffer think plu covid19,nan
2612,zimbabwean even abl stock food case self isol enough money buy enough food god save u need lord coronaviru help come lord made heaven earth let u entreat lord salva,nan
2613,stock food essential coronaviru,nan
2614,friend work retail said towork lucky enough get two contain disinfect wipe stop get ga car upon return pay store disco wipe gone but 1000 phone still car covid19,nan
2615,went costco bona walmart dollar tree super store shopper walmart toilet paper lysol wipe paper towel tissue chicken pasta can food final went asian store abl stock item wipescoronaviru,nan
2616,talk someon get ready launch emerg essential kit market price he got source coupl thousand item he go don't prove food bank peopl cant afford subsist covid19 coronaviru covid19,nan
2617,let tell coronaviru bother go buy 80 million roll to food stock freezer shut vacant plan hell im go full lampoon vacant ya spring break home as,nan
2618,usual go grocery store saturday morn around 900 today arriv 7happyfacesmiley0amno milkbreadtoilet paper pastafrozen beget pick lot cook lol surviv covid2019,nan
2619,covid19no anxiety panic fear follow physic hygieneeat hot cook food practice asana pranayamacur couid,nan
2620,first clean supermarket shelf run bank peopl eye open cant close back polic helpless store clerk tri restock shelf coronapocalyps coronaviru covid19 quarantineandchil covid19,nan
2621,of govern office say stock food resource got bath body work hand saint swifter ice cream half bag pizza roll corner kool aid spaghetti noodle bruh coronaviru,nan
2622,walk grocery store like maytheoddsbeeverinyourfavor covid19 coronaviru,nan
2623,pretty mess cant buy regular food grocery pregnant wife 20 month old child everyone decide stock apocalypse suck coronaviru,nan
2624,get littl nazi forget pressure stress regard covid19 dont forget stock pet buy extra food get extra prescripts medic extra toy indoor yard exercise your quarantine,nan
2625,coronaoutbreak narendramodi govern invoke disease manage act regal price ensure avail vital protect item coronavirusupd coronaviru covid19 covid19 covid19 via opindiacom,nan
2626,think it your tri avoid get covid19 go grocery store everyone good idea,nan
2627,since tandem start thank evil coronaviru play stream library game sit steam pa platform console due excus rememb wash hand stock food have,nan
2628,maaninkavaara minkkinensimo right supermarket nuremberg german wait time cash resist 1 hour coronaviru covid19 covid19 sarscov2 panicky pandemicprepared,nan
2629,dont understand toilet paper mad wouldnt rather stock hand soap perish food covid19 coronaviru,nan
2630,coronaviru stop corona spread prohibit online shop,nan
2631,call repress today demand pa familiesfirst coronaviru bill contain free test 14 day paid sick leav 3 month paid family leav expand employ insure amp food secure medicaid fund life line 202confus 2243121,nan
2632,local store enough food toiletry everyth stock except to tissue kind inside joke whole world on except me covid2019 coronapocalyps coronaviru panicky toiletpapercrisi tissue insidejok,nan
2633,like euros italy spain amp mani country start protect grocery store safeway calmartnv costcopanicbuy either calistogapoa sthelenaca usnationalguard secure basic food need long day ahead covid19,nan
2634,work large retail company hour slash store work wasnt get enough traffic dont get paid time off even option even apology threadconfus coronavirusupd covid2019,nan
2635,uhmm went grocery store montreal appear they sell mask coronaviruscanada coronaviru coronapocalyps covid19canada covid19qc montreal,nan
2636,hey price doug it iller beside immer california see ad report increase price 10 fever stately emerg get arrest amp 10000 fine sale knock coronaviru covid19,nan
2637,girl father result posit coronaviru covid19 said stay home quarantine what next thing doe go fuck supermarket wonder spread never end cocksucker idiot,nan
2638,avoid online shop portal china thank covid19 via shethepeopl,nan
2639,busi exist lost deliver over either exploit opportune support consume approach busi take coronaviru,nan
2640,peopl wipe grocery store boiseidaho elderly family elderly cant quickly run shop friend store run you dont want ruler peopl expos coronaviru,nan
2641,mayb coronaviru final convince u admit shop online also schoolworkchurch online simulate save planet sudden massive reduce pollute greenness prove need netneutr,nan
2642,phineashead bovidiva highly scientific written way would real study but have done massive food shopping buy result ol covid19 pandemonium poll option simple yn amp comment left open,nan
2643,stefania dont get it warn stock week ago although run ever awhile food etc week limitedconfus intend stayinsid washmyhand avoidcrowd avoidtouchingfac covid19 corona,nan
2644,wrong peopl ever store aisle empty include pet food peopl stock milk fail understand even halal store run meat amp chicken peopl chill there need panicky panicshop covid19 coronaviru,nan
2645,supermarket geneva look apocalypse havent even reach peak covid19 spider switzerland coronaviru coronainfoch covid19,nan
2646,serious dont need stock toilet paper ridicule ever grocery store wipe toilet paper chill peopl coronaviruspandem covid19 coronaoutbreak,nan
2647,one cant stock food supply enough room apart coronaviru,nan
2648,today eleventh billion email various supplier handl coronaviru grocery store say impede job open covid19,nan
2649,dad face time local grocery store shelf push move empty look like rob covid2019,nan
2650,rememb family bail stock up miss school breakfast lunch someth easily replace home im don't food aye hope get peopl need it need covid19 coronaviru,nan
2651,wrong peopl said food shortage peopl stock pile food product like it apocalypse calm stop selfish coronaviru shop,nan
2652,pwcdanica thank reply concern folk go go hungry panic buy peopl rely public transport friend protect am covid19 amp get food library close compute acc,nan
2653,supermarket shenzhen without panic mode noth saturday covid19 livinginchina bravo,nan
2654,u whole avoid peopl long coronaviru oughta sort prefer custom state come online grocery shop movetothefrontofthelin,nan
2655,richardbarrow kind thing go south korea too large store lose much busi day next day online deliver service cheaper price convent plu coronaviru spider peopl wanna go so,nan
2656,shoutout grocery store employee work endure im sure whole lot crazy appreci do everyone kind patient folk coronaviru coronaoutbreak coronapocalyps,nan
2657,online shop alter way buy stuff covid2019,nan
2658,neighborhood grocery store houston peopl really go eat food bought go go wast coronaviru covid19 houston,nan
2659,scene grocery store battle ground part 1 sam club overview fly nationalemerg coronapocalyps covid19 covid19 coronaviru,nan
2660,scene grocery store battle ground part 4 walmart wimauma fly went rice bean well walmart heavy mexican area think thing nationalemerg coronapocalyps covid19 covid19 coronaviru,nan
2661,scene grocery store battle ground part 5 andi sun city center fly didnt much nationalemerg coronapocalyps covid19 covid19 coronaviru,nan
2662,scene grocery store battle ground part 2 walmart wimauma fly dont even know isl lol nationalemerg coronapocalyps covid19 covid19 coronaviru,nan
2663,imaishiki maison heard couid 19 must buy peach supply still stock whi peach specify can food recess surviv situate,nan
2664,run cri two thing expect in grocery store haiku covid19 covid19 couid covid19 coronapocalyps coronaviru coronaoutbreak water system safe stop buy bottle water,nan
2665,feel like im contest supermarket sweep coronaviru coronapocalyps covid19 covid19 covid19,nan
2666,im scare shop online amp go grocery shop covid2019,nan
2667,cashier grocery store watch panic 8 hour day go home that to check social medium same scare coronaviru coronapocalyps covid19 coronaviruspandem,nan
2668,worry peopl coronaviru really insane,nan
2669,storesonestop shop like target walmart go shift mandate curbside pickup could regal hoard amp limit germ spread model like instacart person shop online order drive car load deliver covid19 stayathom,nan
2670,marguerite alcarazen de leon sun 2008 life time covid19,nan
2671,look bright side covid19 there increase demand premium quality food health care product dishwasher disinfect cabinet sweep robot auto wash phone ultraviolet disinfect lamp online duc service entertain,nan
2672,iron face possible lockdown due virus contact close proxima wider public scurry ever supermarketpharmaci collect thu creat perfect condemns mass human covid19 transmit eas,nan
2673,pleas pleas buy need folk dont leav someon queue behind food family stock pile ask peopl pledge via cv19pledg pleas share stanhope coronaviru covid19 coronary london,nan
2674,duncanbannatyn crazy pleas pleas ask peopl buy need dont leav someon queue behind food family stock pile ask peopl pledge via cv19pledg pleas share duncan stardom,nan
2675,paraphrase i lewd coronaviru kill need domain mind auspol coronavirusoutbreak coronavirusaustralia covid19 covid19 covid19australia lewd supermarket australia,nan
2676,couldnt get half grocery list store since they much bought doubt choco wine same right covid19,nan
2677,saw earlier grocery store hand soap pretty much clean out thought myself ha nobody wash hand whole time ssgtcain hysteria panicky couid covid19 covd19 corona we,nan
2678,amp8216w plenty foodamp8217 ontario govern urge calm amid tandem panic buy covid19 coronaviru,nan
2679,michigan reside report suspect price doug violate consume protect act online covid19 coronaviru tandem amp timeconfus visit call 8777658388,nan
2680,work grocery store shelf 10pm coronaviru covid2019 giant coronaviruspandem wedonothavetoiletpap,nan
2681,large retail store kosovo where u buy mainly offood good toy offic stuff etcconfus announce close door health staff client notice coronaviru,nan
2682,woman front grocery store like 15 liter soda plan spend two week social distance develop diet covid19,nan
2683,if top covid19 contend idiot creat shortage wake up peopl keep shop restrict auspol,nan
2684,reduce spread corona virus like run bac busi success depend consume behavior virus coronaviru busi covid19 healthtoeveryon,nan
2685,nice long pass there douchebag pricegoug point don't nurse homessmal biz shelter grocery store worker would probabl right thing do dont know mayb tri sell normal price recoup coronapocalyps coronaviru,nan
2686,peopl leav ga pump car go inside get food deserve get coronaviru sorrynotsorri,nan
2687,bear online offer vaccine etc usda jointly issue warn letter seven seller unapproved disband product claim treat prevent coronaviru full blog post here,nan
2688,imagin preside plan american stock food orderly way week ago hell 9thgrader could come one trump trumpviru coronapocalyps coronaviru covid19 traders roger ralph trumptrain trump2020landslid bernie,nan
2689,secure tag store stock toilet paper retail job theft coronaviru coronavirusupd coronapocalyps,nan
2690,covid19 prepared stock food toilet paper avoid panic buy say health canada covid19 covid19 coronaviru cdnhealth health toiletpap panicky,nan
2691,commit consume advice higherednotdebt call congress depart duc usedto impede relief burden studentdebt response coronaviru covid19 tandem,nan
2692,bumble wont run food oh insist get extra ration got 1 i pasta supermarket some still shelvesconfus amp garlic amp ginger past paracetamol soluble version i 28 tablet if loo roll stock need coronaviru,nan
2693,news coronaoutbreak there scandal increase price surgical mask amazonian amp flippant time fight toget amazonian flippant pleas restrain seller practice malign busi drharshvardhan mohfwindia covid2019 piyushgoy,nan
2694,raise hand lady grocery store scoff tri belittle front peopl regular amount grocery cart largefamilyproblem coronapocalyps coronaviru covid19,nan
2695,kill coronaviru car without damage surface consume report or ask sunset north car wash germ buster interior steam cleaningconfus sunsetnorthcarwash carwash autodetail coronaviru,nan
2696,hoarsewisper work puzzle order amazon yesterdayconfus research plant garden wonder coronaviru have fluke symptom dri cough yesterdayconfus decide felt good enough worry stay i,nan
2697,tri weekly online deliver cant carry shop bag walk around supermarket follow total gone toilet roll anda dettol product pasta paracetamol ibuprofen recess mani stop hoard coronaviru,nan
2698,covid19 stunt busi make money since they go stock thing make bank toilet paper food water,nan
